tile_id,level,logical_room,tile_x,tile_y,behaviour,projectile_or_child,destroyable_evidence
$300,1,1,17,5,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,1,12,15,5,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,1,16,12,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,1,18,13,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,2,13,13,5,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,2,18,9,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,3,0,9,5,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,3,10,4,3,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,3,20,15,5,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,3,22,6,5,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,3,29,9,5,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,4,4,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,4,14,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,9,2,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,12,3,3,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,12,9,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,22,4,5,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,24,7,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,39,1,3,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,39,15,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,40,11,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,46,7,5,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,46,16,5,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,54,16,5,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,55,7,4,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,57,9,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,60,2,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,60,13,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,66,5,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,66,9,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,71,14,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,77,15,2,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,78,3,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$300,4,78,14,6,$016D6C,$014C0C -> projectile behaviour $015C8E,yes; impact dispatcher recognises $300
$30C,1,2,15,4,$016EBC,calls projectile constructor $016F34 -> $015C8E,yes; impact dispatcher recognises $30C-$30F assembly
