tile_id,impact_dispatch_runtime,removal_family,map_occurrences,rooms_containing_tile
$068,$01A316,single-cell clear / score-effect path ($1456A),136,L1R4; L1R19; L2R4; L2R11; L2R12; L2R28; L3R5; L3R17; L3R19; L4R7; L4R23; L4R27; L4R28; L4R31
$069,$01A316,single-cell clear / score-effect path ($1456A),238,L1R19; L1R20; L2R2; L2R13; L3R15; L3R17; L3R19; L3R26; L3R27; L3R31; L4R10; L4R27; L4R28; L4R29; L4R32; L4R38; L4R39; L4R41; L4R49; L4R59
$06B,$01A316,single-cell clear / score-effect path ($1456A),113,L1R20; L2R2; L2R13; L3R15; L3R17; L3R19; L3R31; L4R28; L4R39; L4R41; L4R49; L4R59
$0ED,$01A316,single-cell clear / score-effect path ($1456A),175,L1R4; L2R4; L2R11; L2R12; L2R28; L3R5; L3R17; L3R19; L4R7; L4R23; L4R28; L4R31; L4R62
$116,$01A316,multi-cell removal via $12462 family,25,L1R2; L1R11; L2R1; L2R16; L2R21; L3R2; L3R4; L3R7; L3R8; L3R19; L3R22; L3R24; L3R29; L4R12; L4R23; L4R43; L4R54; L4R57; L4R60; L4R63; L4R71; L4R77; L4R78
$117,$01A316,multi-cell removal via $12462 family,25,L1R2; L1R11; L2R1; L2R16; L2R21; L3R2; L3R4; L3R7; L3R8; L3R19; L3R22; L3R24; L3R29; L4R12; L4R23; L4R43; L4R54; L4R57; L4R60; L4R63; L4R71; L4R77; L4R78
$118,$01A316,multi-cell removal via $12462 family,25,L1R2; L1R11; L2R1; L2R16; L2R21; L3R2; L3R4; L3R7; L3R8; L3R19; L3R22; L3R24; L3R29; L4R12; L4R23; L4R43; L4R54; L4R57; L4R60; L4R63; L4R71; L4R77; L4R78
$119,$01A316,multi-cell removal via $12462 family,25,L1R2; L1R11; L2R1; L2R16; L2R21; L3R2; L3R4; L3R7; L3R8; L3R19; L3R22; L3R24; L3R29; L4R12; L4R23; L4R43; L4R54; L4R57; L4R60; L4R63; L4R71; L4R77; L4R78
$11A,$01A316,multi-cell removal via $12462 family,25,L1R2; L1R11; L2R1; L2R16; L2R21; L3R2; L3R4; L3R7; L3R8; L3R19; L3R22; L3R24; L3R29; L4R12; L4R23; L4R43; L4R54; L4R57; L4R60; L4R63; L4R71; L4R77; L4R78
$30C,$01A316,multi-cell removal via $12462 family,25,L1R2; L1R11; L2R1; L2R16; L2R21; L3R2; L3R4; L3R7; L3R8; L3R19; L3R22; L3R24; L3R29; L4R12; L4R23; L4R43; L4R54; L4R57; L4R60; L4R63; L4R71; L4R77; L4R78
$30D,$01A316,multi-cell removal via $12462 family,25,L1R2; L1R11; L2R1; L2R16; L2R21; L3R2; L3R4; L3R7; L3R8; L3R19; L3R22; L3R24; L3R29; L4R12; L4R23; L4R43; L4R54; L4R57; L4R60; L4R63; L4R71; L4R77; L4R78
$11D,$01A316,multi-cell removal via $12462 family,25,L1R2; L1R11; L2R1; L2R16; L2R21; L3R2; L3R4; L3R7; L3R8; L3R19; L3R22; L3R24; L3R29; L4R12; L4R23; L4R43; L4R54; L4R57; L4R60; L4R63; L4R71; L4R77; L4R78
$11E,$01A316,multi-cell removal via $12462 family,25,L1R2; L1R11; L2R1; L2R16; L2R21; L3R2; L3R4; L3R7; L3R8; L3R19; L3R22; L3R24; L3R29; L4R12; L4R23; L4R43; L4R54; L4R57; L4R60; L4R63; L4R71; L4R77; L4R78
$30E,$01A316,multi-cell removal via $12462 family,25,L1R2; L1R11; L2R1; L2R16; L2R21; L3R2; L3R4; L3R7; L3R8; L3R19; L3R22; L3R24; L3R29; L4R12; L4R23; L4R43; L4R54; L4R57; L4R60; L4R63; L4R71; L4R77; L4R78
$30F,$01A316,multi-cell removal via $12462 family,25,L1R2; L1R11; L2R1; L2R16; L2R21; L3R2; L3R4; L3R7; L3R8; L3R19; L3R22; L3R24; L3R29; L4R12; L4R23; L4R43; L4R54; L4R57; L4R60; L4R63; L4R71; L4R77; L4R78
