level,logical_room,orientation,start_x,start_y,end_x,end_y,distance_tiles,start_runtime_source,end_runtime_source
1,3,VERTICAL,10,2,10,6,4,$040E7A,$0417E2
1,3,VERTICAL,12,3,12,7,4,$0410D8,$041A40
1,9,VERTICAL,9,2,9,6,4,$040E00,$041768
1,9,VERTICAL,11,3,11,7,4,$04105E,$0419C6
1,18,VERTICAL,9,2,9,6,4,$040DB0,$041718
2,0,VERTICAL,13,1,13,5,4,$0426A2,$043502
2,0,VERTICAL,9,2,9,6,4,$042A32,$043892
2,0,VERTICAL,11,3,11,7,4,$042DCE,$043C2E
2,25,VERTICAL,12,2,12,6,4,$042CB8,$043B18
3,3,VERTICAL,8,1,8,6,5,$0450A0,$0469A0
3,3,VERTICAL,10,1,10,6,5,$0450A4,$0469A4
3,3,VERTICAL,12,1,12,6,5,$0450A8,$0469A8
3,13,HORIZONTAL,5,8,6,8,1,$047412,$047414
3,13,VERTICAL,11,4,11,8,4,$04601E,$04741E
3,26,VERTICAL,2,2,2,6,4,$0454F4,$0468F4
3,26,VERTICAL,4,3,4,7,4,$0459F8,$046DF8
3,26,VERTICAL,6,4,6,8,4,$045EFC,$0472FC
3,26,VERTICAL,8,5,8,9,4,$046400,$047800
3,27,VERTICAL,5,2,5,6,4,$045892,$046C92
3,27,VERTICAL,7,3,7,7,4,$045D96,$047196
3,27,VERTICAL,11,3,11,7,4,$045D9E,$04719E
3,27,VERTICAL,9,4,9,8,4,$04629A,$04769A
4,0,HORIZONTAL,1,4,10,4,9,$0485B2,$0485C4
4,0,HORIZONTAL,6,6,14,6,8,$04883C,$04884C
4,1,HORIZONTAL,1,4,6,4,5,$0485DA,$0485E4
4,9,VERTICAL,6,1,6,5,4,$048FE4,$0494E4
4,10,HORIZONTAL,3,3,10,3,7,$049286,$049294
4,10,HORIZONTAL,4,4,11,4,7,$0493C8,$0493D6
4,10,HORIZONTAL,5,6,10,6,5,$04964A,$049654
4,15,VERTICAL,6,2,6,6,4,$049214,$049714
4,15,VERTICAL,8,3,8,7,4,$049358,$049858
4,17,HORIZONTAL,4,4,10,4,6,$04A160,$04A16C
4,17,HORIZONTAL,5,6,11,6,6,$04A3E2,$04A3EE
4,17,VERTICAL,7,2,7,7,5,$049EE6,$04A526
4,17,VERTICAL,9,3,9,8,5,$04A02A,$04A66A
4,20,HORIZONTAL,13,1,17,1,4,$049E2A,$049E32
4,20,HORIZONTAL,14,3,18,3,4,$04A0AC,$04A0B4
4,20,HORIZONTAL,13,5,17,5,4,$04A32A,$04A332
4,20,HORIZONTAL,14,7,18,7,4,$04A5AC,$04A5B4
4,25,HORIZONTAL,1,4,8,4,7,$04AF1A,$04AF28
4,25,HORIZONTAL,4,6,10,6,6,$04B1A0,$04B1AC
4,25,HORIZONTAL,7,8,13,8,6,$04B426,$04B432
4,29,HORIZONTAL,1,1,15,1,14,$04ABFA,$04AC16
4,29,HORIZONTAL,6,5,15,5,9,$04B104,$04B116
4,32,HORIZONTAL,9,4,12,4,3,$04BCC2,$04BCC8
4,32,HORIZONTAL,9,7,12,7,3,$04C082,$04C088
4,32,VERTICAL,7,2,7,5,3,$04BA3E,$04BDFE
4,32,VERTICAL,14,6,14,9,3,$04BF4C,$04C30C
4,45,VERTICAL,6,1,6,5,4,$04C784,$04CC84
4,56,HORIZONTAL,7,6,13,6,6,$04E87E,$04E88A
4,56,HORIZONTAL,6,8,11,8,5,$04EAFC,$04EB06
4,56,HORIZONTAL,6,9,10,9,4,$04EC3C,$04EC44
4,71,VERTICAL,9,2,9,6,4,$04F25A,$04F75A
4,73,VERTICAL,1,1,1,7,6,$04FDDA,$05055A
4,73,VERTICAL,12,2,12,7,5,$04FF30,$050570
4,73,VERTICAL,3,3,3,8,5,$05005E,$05069E
4,73,VERTICAL,10,4,10,9,5,$0501AC,$0507EC
4,74,HORIZONTAL,1,3,12,3,11,$050082,$050098
4,74,HORIZONTAL,1,7,12,7,11,$050582,$050598
4,75,HORIZONTAL,2,3,14,3,12,$0500AC,$0500C4
4,75,HORIZONTAL,2,7,14,7,12,$0505AC,$0505C4
