script,table_index,script_runtime_start,script_runtime_end,object_count,animation_start,animation_end,command_index,command_runtime,op,duration,random_mask,dx,dy,projectiles,raw_hex
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,0,$040342,MOVE_REPEAT,17,,0,-2,,801100fe
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,1,$040346,MOVE_ONCE,,,0,-1,,00ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,2,$040348,MOVE_ONCE,,,0,-1,,00ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,3,$04034A,MOVE_ONCE,,,0,-1,,00ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,4,$04034C,MOVE_ONCE,,,-2,-1,,feff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,5,$04034E,MOVE_ONCE,,,-2,-1,,feff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,6,$040350,MOVE_ONCE,,,-4,-1,,fcff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,7,$040352,MOVE_ONCE,,,-4,-1,,fcff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,8,$040354,MOVE_ONCE,,,-6,-1,,faff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,9,$040356,MOVE_ONCE,,,-6,-1,,faff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,10,$040358,MOVE_ONCE,,,-6,-1,,faff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,11,$04035A,MOVE_ONCE,,,-6,-1,,faff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,12,$04035C,MOVE_ONCE,,,-6,-1,,faff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,13,$04035E,MOVE_ONCE,,,-6,-1,,faff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,14,$040360,MOVE_ONCE,,,-4,-1,,fcff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,15,$040362,MOVE_ONCE,,,-4,-1,,fcff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,16,$040364,MOVE_ONCE,,,-2,-1,,feff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,17,$040366,MOVE_ONCE,,,-2,-1,,feff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,18,$040368,MOVE_ONCE,,,0,-1,,00ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,19,$04036A,MOVE_ONCE,,,2,-1,,02ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,20,$04036C,MOVE_ONCE,,,2,-1,,02ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,21,$04036E,MOVE_ONCE,,,4,-1,,04ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,22,$040370,MOVE_ONCE,,,4,-1,,04ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,23,$040372,MOVE_ONCE,,,6,-1,,06ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,24,$040374,MOVE_ONCE,,,6,-1,,06ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,25,$040376,MOVE_ONCE,,,6,-1,,06ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,26,$040378,MOVE_ONCE,,,6,-1,,06ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,27,$04037A,MOVE_ONCE,,,6,-1,,06ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,28,$04037C,MOVE_ONCE,,,6,-1,,06ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,29,$04037E,MOVE_ONCE,,,4,-1,,04ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,30,$040380,MOVE_ONCE,,,4,-1,,04ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,31,$040382,MOVE_ONCE,,,2,-1,,02ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,32,$040384,MOVE_ONCE,,,2,-1,,02ff
BOTTOM_0,0,$04033F,$040386,1,$46,$4E,33,$040386,LOOP,,,,,,81
BOTTOM_1,1,$040387,$0403AB,1,$56,$5C,0,$04038A,MOVE_REPEAT,8,,0,-4,,800800fc
BOTTOM_1,1,$040387,$0403AB,1,$56,$5C,1,$04038E,MOVE_REPEAT,12,,0,-2,,800c00fe
BOTTOM_1,1,$040387,$0403AB,1,$56,$5C,2,$040392,MOVE_REPEAT,8,,1,-2,,800801fe
BOTTOM_1,1,$040387,$0403AB,1,$56,$5C,3,$040396,MOVE_REPEAT,8,,0,-2,,800800fe
BOTTOM_1,1,$040387,$0403AB,1,$56,$5C,4,$04039A,MOVE_REPEAT,8,,-1,-2,,8008fffe
BOTTOM_1,1,$040387,$0403AB,1,$56,$5C,5,$04039E,FIRE_ONE,,,,,1,82
BOTTOM_1,1,$040387,$0403AB,1,$56,$5C,6,$04039F,MOVE_REPEAT,10,,-2,0,,800afe00
BOTTOM_1,1,$040387,$0403AB,1,$56,$5C,7,$0403A3,MOVE_REPEAT,4,,2,4,,80040204
BOTTOM_1,1,$040387,$0403AB,1,$56,$5C,8,$0403A7,MOVE_REPEAT,50,,0,-2,,803200fe
BOTTOM_1,1,$040387,$0403AB,1,$56,$5C,9,$0403AB,LOOP,,,,,,81
BOTTOM_2,2,$0403AC,$0403CC,2,$18,$30,0,$0403AF,MOVE_REPEAT,12,,0,-2,,800c00fe
BOTTOM_2,2,$0403AC,$0403CC,2,$18,$30,1,$0403B3,MOVE_REPEAT,12,,-1,-2,,800cfffe
BOTTOM_2,2,$0403AC,$0403CC,2,$18,$30,2,$0403B7,MOVE_REPEAT,12,,1,-1,,800c01ff
BOTTOM_2,2,$0403AC,$0403CC,2,$18,$30,3,$0403BB,MOVE_REPEAT,12,,-1,-2,,800cfffe
BOTTOM_2,2,$0403AC,$0403CC,2,$18,$30,4,$0403BF,FIRE_ONE,,,,,1,82
BOTTOM_2,2,$0403AC,$0403CC,2,$18,$30,5,$0403C0,MOVE_REPEAT,12,,1,-2,,800c01fe
BOTTOM_2,2,$0403AC,$0403CC,2,$18,$30,6,$0403C4,MOVE_REPEAT,12,,-1,-2,,800cfffe
BOTTOM_2,2,$0403AC,$0403CC,2,$18,$30,7,$0403C8,MOVE_REPEAT,12,,1,-2,,800c01fe
BOTTOM_2,2,$0403AC,$0403CC,2,$18,$30,8,$0403CC,LOOP,,,,,,81
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,0,$0403D0,MOVE_REPEAT,18,,0,-2,,801200fe
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,1,$0403D4,MOVE_REPEAT,8,,1,-2,,800801fe
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,2,$0403D8,MOVE_REPEAT,16,,-1,-2,,8010fffe
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,3,$0403DC,MOVE_REPEAT,8,,0,-2,,800800fe
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,4,$0403E0,MOVE_REPEAT,8,,1,-2,,800801fe
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,5,$0403E4,MOVE_REPEAT,8,,1,0,,80080100
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,6,$0403E8,FIRE_ONE,,,,,1,82
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,7,$0403E9,MOVE_REPEAT,8,,1,2,,80080102
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,8,$0403ED,MOVE_REPEAT,8,,0,3,,80080003
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,9,$0403F1,MOVE_REPEAT,10,,0,4,,800a0004
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,10,$0403F5,MOVE_REPEAT,8,,-1,2,,8008ff02
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,11,$0403F9,MOVE_REPEAT,8,,-1,-2,,8008fffe
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,12,$0403FD,MOVE_REPEAT,40,,0,-4,,802800fc
BOTTOM_3,3,$0403CD,$040401,1,$4E,$52,13,$040401,LOOP,,,,,,81
TOP_0,4,$0402F0,$040306,2,$10,$18,0,$0402F3,MOVE_REPEAT,15,,0,2,,800f0002
TOP_0,4,$0402F0,$040306,2,$10,$18,1,$0402F7,WAIT,random,$1F,,,,8384
TOP_0,4,$0402F0,$040306,2,$10,$18,2,$0402F9,FIRE_THREE,,,,,3,85
TOP_0,4,$0402F0,$040306,2,$10,$18,3,$0402FA,MOVE_REPEAT,random,$3F,-1,0,,8084ff00
TOP_0,4,$0402F0,$040306,2,$10,$18,4,$0402FE,MOVE_REPEAT,random,$3F,0,2,,80840002
TOP_0,4,$0402F0,$040306,2,$10,$18,5,$040302,MOVE_REPEAT,random,$3F,1,0,,80840100
TOP_0,4,$0402F0,$040306,2,$10,$18,6,$040306,LOOP,,,,,,81
TOP_1,5,$040307,$04031C,2,$30,$3E,0,$04030A,MOVE_REPEAT,10,,1,2,,800a0102
TOP_1,5,$040307,$04031C,2,$30,$3E,1,$04030E,FIRE_ONE,,,,,1,82
TOP_1,5,$040307,$04031C,2,$30,$3E,2,$04030F,MOVE_REPEAT,random,$3F,-1,2,,8084ff02
TOP_1,5,$040307,$04031C,2,$30,$3E,3,$040313,MOVE_REPEAT,random,$3F,1,2,,80840102
TOP_1,5,$040307,$04031C,2,$30,$3E,4,$040317,FIRE_ONE,,,,,1,82
