side_code,side,random_variant,stream_runtime,object_count_byte,animation_start_byte,animation_end_byte,stream_prefix_hex
0,BOTTOM,0,$04033F,1,$46,$4E,01 46 4e 80 11 00 fe 00 ff 00 ff 00 ff fe ff fe ff fc ff fc ff fa ff fa ff fa ff fa
0,BOTTOM,1,$040387,1,$56,$5C,01 56 5c 80 08 00 fc 80 0c 00 fe 80 08 01 fe 80 08 00 fe 80 08 ff fe 82 80 0a fe 00
0,BOTTOM,2,$0403AC,2,$18,$30,02 18 30 80 0c 00 fe 80 0c ff fe 80 0c 01 ff 80 0c ff fe 82 80 0c 01 fe 80 0c ff fe
0,BOTTOM,3,$0403CD,1,$4E,$52,01 4e 52 80 12 00 fe 80 08 01 fe 80 10 ff fe 80 08 00 fe 80 08 01 fe 80 08 01 00 82
1,TOP,0,$0402F0,2,$10,$18,02 10 18 80 0f 00 02 83 84 85 80 84 ff 00 80 84 00 02 80 84 01 00 81 02 30 3e 80 0a
1,TOP,1,$040307,2,$30,$3E,02 30 3e 80 0a 01 02 82 80 84 ff 02 80 84 01 02 82 80 07 00 ff 81 01 56 5c 80 0a 00
1,TOP,2,$04031D,1,$56,$5C,01 56 5c 80 0a 00 03 82 80 0a 03 00 80 14 fd 00 82 80 0a 03 00 81 01 64 6a 80 84 ff
1,TOP,3,$040333,1,$64,$6A,01 64 6a 80 84 ff 03 80 84 01 03 81 01 46 4e 80 11 00 fe 00 ff 00 ff 00 ff fe ff fe
2,RIGHT,0,$040290,2,$3E,$46,02 3e 46 80 08 fc 00 85 80 06 00 fc 82 80 06 00 04 81 01 60 64 80 14 fe ff 82 80 14
2,RIGHT,1,$0402A2,1,$60,$64,01 60 64 80 14 fe ff 82 80 14 fe 01 80 14 01 02 80 0a 01 fe 80 32 fd 01 81 01 6a 6e
2,RIGHT,2,$0402BB,1,$6A,$6E,01 6a 6e 80 12 fc 01 80 0f 02 ff 80 12 fe 01 80 0f 02 01 81 02 30 3e 80 0a fd 00 82
2,RIGHT,3,$0402CF,2,$30,$3E,02 30 3e 80 0a fd 00 82 80 0a 00 fd 82 80 0a fd 00 82 80 14 00 03 82 80 0a fd 00 82
3,LEFT,0,$040217,2,$3E,$46,02 3e 46 80 14 04 00 80 14 02 01 82 80 14 02 ff 80 14 fc 00 82 80 28 00 01 81 01 52
3,LEFT,1,$040231,1,$52,$56,01 52 56 80 28 02 00 82 80 0a 02 02 80 0a 02 00 80 0a 02 fe 80 0a 00 fe 80 0a fe fe
3,LEFT,2,$04025A,1,$5C,$60,01 5c 60 80 23 04 01 82 80 0a 02 ff 80 05 04 01 80 0f 04 fe 81 01 4e 52 80 32 02 00
3,LEFT,3,$04026F,1,$4E,$52,01 4e 52 80 32 02 00 85 80 14 00 fe 80 0a 02 00 82 80 14 00 02 83 84 80 0a 01 ff 85
