kind,shape,controller_cost,safe_add,safe_delete,notes
compound_232_2x3,6 owned cells,1,yes,yes,atomic_place_move_delete
compound_242_2x2,4 owned cells,1,yes,yes,atomic_place_move_delete
organic_cannon_300,10 owned cells,1,yes,yes,atomic_place_move_delete
large_cannon_30C,11 owned cells,1,yes,yes,atomic_place_move_delete_preserve_collateral
fixed_cannon_31C,2 owned cells,1,yes,yes,source pair $31C/$31D; runtime animates the two-cell pair
right_gun_329,4 owned cells,1,yes,yes,four-cell strip $326/$327/$328/$329; same-type guns share global timer $3FF2C
left_gun_346,4 owned cells,1,yes,yes,four-cell strip $346/$347/$348/$349; one original source uses $359 end-cap; same-type guns share global timer $3FF2A
animated_pair_24D_24E,2x1 horizontal,1,yes,yes,five-frame two-cell animation
animated single-cell families $253-$26E,1 cell,1,yes,yes,preserve initial phase; energy fields $257-$25E are lethal only in L4
RACT $1E0/$1E1,1 cell,1,yes,yes,runtime animation $308-$30B or $304-$307
ELE pair,2 endpoint markers,0,yes up to 5 pairs,yes,"two runtime slots per pair, 43..52"
portal,$1D5 + table record,1,no,no,exactly 8 records; move/re-target; duplicate source rooms allowed
RNET,1 source marker,0,only if room total <= 8,yes,first eight row-major markers instantiate
CRP,1 source marker,0,only if room total <= 6,yes,original over-cap rooms preserved; excess markers overwrite slot 76
particle emitter $09F,1 cell,1,yes with warning,yes,shared child pool 19..40; allocation failure checked
mixed spawn pit $200/$2E2,1 cell,1,yes in L4,yes,$2E6/$2EE are engine aliases unused in current maps
START,1 marker + table entry,0,no,no,move one-per-level and synchronise start-room table
landing pad,2x1 $324/$325,0,no,no,move one pair per level
ST/ED edge spawn,side marker set,0,advanced only,advanced only,do not normalise inherited endpoints
