level,logical_room,physical_background,spawn_side,ST_marker,ED_marker,ST_values_written_XY,ED_values_written_XY,anomaly
1,2,8,RIGHT,"$1E8@19,3","$1E9@19,9","$160,$048","$160,$0A8",
1,8,1,BOTTOM,"$1E2@6,10","$1E3@15,10","$080,$0C8","$110,$0C8",
1,10,5,LEFT,"$1E4@0,2","$1E5@0,6","$010,$038","$010,$078",
1,12,11,BOTTOM,"$1E2@2,10","$1E3@8,10","$040,$0C8","$0A0,$0C8",
2,5,14,BOTTOM,"$1E2@3,10","$1E3@16,10","$050,$0C8","$120,$0C8",
2,8,6,BOTTOM,"$1E2@5,10","$1E3@13,10","$070,$0C8","$0F0,$0C8",
2,10,2,LEFT,"$1E4@0,4","$1E5@0,6","$010,$058","$010,$078",
2,13,15,BOTTOM,"$1E2@3,10","$1E3@10,10","$050,$0C8","$0C0,$0C8",
2,17,8,RIGHT,"$1E8@19,2","$1E9@19,7","$160,$038","$160,$088",
2,25,21,LEFT,"$1E4@0,2","$1E5@0,8","$010,$038","$010,$098",
2,26,20,LEFT,"$1E4@0,2","$1E5@0,8","$010,$038","$010,$098",
3,2,11,BOTTOM,"$1E2@5,10","$1E3@15,10","$070,$0C8","$110,$0C8",
3,3,12,RIGHT,"$1E8@19,1","$1E9@19,9","$160,$028","$160,$0A8",
3,4,13,LEFT,"$1E4@0,6","$1E5@0,9","$010,$078","$010,$0A8",
3,7,24,BOTTOM,"$1E2@5,10","$1E3@17,10","$070,$0C8","$130,$0C8",
3,8,2,RIGHT,"$1E8@19,1","$1E9@19,9","$160,$028","$160,$0A8",
3,10,10,TOP,"$1E6@2,0","$1E7@18,0","$040,$008","$140,$028",
3,11,17,BOTTOM,"$1E2@3,10","$1E3@13,10","$050,$0C8","$0F0,$0C8",
3,14,22,TOP,"$1E6@2,0","$1E7@18,0","$040,$008","$140,$028",
3,15,25,BOTTOM,"$1E2@5,10","$1E3@17,10","$070,$0C8","$130,$0C8",
3,18,9,TOP,"$1E6@3,0","$1E7@11,0","$050,$008","$0D0,$028",
3,20,19,RIGHT,"$1E8@19,3","$1E9@19,7","$160,$048","$160,$088",
3,21,20,RIGHT,"$1E8@19,3","$1E9@19,7","$160,$048","$160,$088",
3,22,21,TOP,"$1E6@13,0","$1E7@17,0","$0F0,$008","$130,$028",
3,23,26,BOTTOM,,"$1E3@5,10;$1E3@17,10",,"$070,$0C8;$130,$0C8","marker count ST=0, ED=2; missing fields persist in RAM from earlier room state"
3,24,6,RIGHT,"$1E8@19,2","$1E9@19,8","$160,$038","$160,$098",
3,25,7,RIGHT,"$1E8@19,2","$1E9@19,7","$160,$038","$160,$088",
3,29,29,LEFT,"$1E4@0,2","$1E5@0,8","$010,$038","$010,$098",
4,14,14,RIGHT,"$1E8@19,1","$1E9@19,3","$160,$028","$160,$048",
4,16,16,BOTTOM,"$1E2@2,10","$1E3@8,10","$040,$0C8","$0A0,$0C8",
4,40,40,BOTTOM,,"$1E3@6,10",,"$080,$0C8","marker count ST=0, ED=1; missing fields persist in RAM from earlier room state"
4,43,43,BOTTOM,"$1E2@6,10","$1E3@12,10","$080,$0C8","$0E0,$0C8",
4,50,50,TOP,"$1E6@3,0","$1E7@4,0","$050,$008","$060,$028",
4,51,51,BOTTOM,"$1E2@2,9","$1E3@17,9","$040,$0B8","$130,$0B8",
4,53,53,LEFT,"$1E4@0,1","$1E5@0,5","$010,$028","$010,$068",
4,55,55,BOTTOM,"$1E2@12,9","$1E3@18,9","$0E0,$0B8","$140,$0B8",
4,58,58,BOTTOM,"$1E2@1,10","$1E3@10,10","$030,$0C8","$0C0,$0C8",
4,59,59,LEFT,"$1E4@0,1","$1E5@0,9","$010,$028","$010,$0A8",
4,66,66,TOP,"$1E6@1,0","$1E7@4,0","$030,$008","$060,$028",
4,70,70,BOTTOM,"$1E2@1,10","$1E3@14,10","$030,$0C8","$100,$0C8",
