level,logical_room,physical_background,map_source_runtime,player_start,automatic_enemy_spawn,spawn_side,spawn_marker_status,level_exit_docking_room,level4_portal,horizontal_elevators,vertical_elevators,other_special_objects
1,0,0,$04084A,"5,7",no,,,no,,,,"$09F@10,8:particle_or_hazard_emitter;$1FA@17,8:bonus_object"
1,1,7,$040962,,no,,,no,,,,"$31C@4,4:weapon_or_hazard_emitter;$300@17,5:active_room_controller;$242@9,8:static_instantiated_object"
1,2,8,$04098A,,yes,RIGHT,complete,no,,,,"$30C@15,4:weapon_or_hazard_emitter"
1,3,9,$0409B2,,no,,,no,,,"(10,2)->(10,6);(12,3)->(12,7)","$1FC@16,2:crp_mover;$1FC@17,2:crp_mover;$1FC@18,2:crp_mover;$1FC@19,2:crp_mover"
1,4,10,$0409DA,,no,,,no,,,,"$1F3@9,4:bonus_object;$1FA@15,7:bonus_object;$1F2@14,9:bonus_object"
1,8,1,$040872,,yes,BOTTOM,complete,no,,,,"$1F2@4,4:bonus_object"
1,9,6,$04093A,,no,,,no,,,"(9,2)->(9,6);(11,3)->(11,7)","$1F3@7,3:bonus_object;$09F@4,8:particle_or_hazard_emitter"
1,10,5,$040912,,yes,LEFT,complete,no,,,,"$1F5@9,2:directional_mover;$1F3@7,6:bonus_object;$1F3@11,6:bonus_object"
1,11,14,$040A7A,,no,,,yes,,,,"$30C@9,3:weapon_or_hazard_emitter;$253@14,6:animated_mechanism;$253@17,6:animated_mechanism;$254@14,7:animated_mechanism;$254@17,7:animated_mechanism;$255@14,8:animated_mechanism;$255@17,8:animated_mechanism;$256@14,9:animated_mechanism;$24D@15,9:animated_mechanism;$256@17,9:animated_mechanism"
1,12,11,$040A02,,yes,BOTTOM,complete,no,,,,"$300@15,5:active_room_controller"
1,16,2,$04089A,,no,,,no,,,,"$1F2@3,4:bonus_object;$1F3@4,4:bonus_object;$300@12,6:active_room_controller"
1,17,3,$0408C2,,no,,,no,,,,"$1F5@10,1:directional_mover;$1F5@16,1:directional_mover;$346@14,7:left_firing_emitter;$1F4@12,9:directional_mover"
1,18,4,$0408EA,,no,,,no,,,"(9,2)->(9,6)","$300@13,6:active_room_controller;$1F2@14,7:bonus_object"
1,19,13,$040A52,,no,,,no,,,,"$1FC@15,6:crp_mover;$1F4@6,7:directional_mover;$1F4@10,7:directional_mover;$1F4@12,7:directional_mover;$1F4@5,8:directional_mover;$1F4@9,8:directional_mover"
1,20,12,$040A2A,,no,,,no,,,,"$1FD@13,3:crp_mover;$1FD@14,3:crp_mover;$1FD@15,3:crp_mover;$1FD@16,3:crp_mover;$1F4@8,7:directional_mover;$1F4@9,7:directional_mover"
2,0,5,$0422F0,,no,,,no,,,"(13,1)->(13,5);(9,2)->(9,6);(11,3)->(11,7)",
2,1,4,$0422C8,,no,,,no,,,,"$1F5@2,1:directional_mover;$1F5@3,1:directional_mover;$1F5@4,1:directional_mover;$30C@13,2:weapon_or_hazard_emitter;$1F2@5,3:bonus_object;$232@10,6:static_instantiated_object;$242@15,7:static_instantiated_object"
2,2,1,$042250,,no,,,no,,,,"$31C@10,4:weapon_or_hazard_emitter;$1F3@14,7:bonus_object"
2,3,0,$042228,"14,4",no,,,no,,,,"$1F5@8,2:directional_mover;$232@7,6:static_instantiated_object;$1F3@2,7:bonus_object;$1F4@4,7:directional_mover;$1F4@5,7:directional_mover;$1F4@10,7:directional_mover"
2,4,13,$042430,,no,,,no,,,,"$1FC@16,2:crp_mover;$1FC@17,2:crp_mover;$1FC@18,2:crp_mover;$1FC@19,2:crp_mover;$1FD@6,4:crp_mover;$1FD@12,4:crp_mover;$25C@17,4:animated_mechanism;$25B@17,5:animated_mechanism"
2,5,14,$042458,,yes,BOTTOM,complete,no,,,,
2,8,6,$042318,,yes,BOTTOM,complete,no,,,,"$1F1@2,6:directional_mover"
2,9,3,$0422A0,,no,,,no,,,,"$1FC@5,3:crp_mover;$1FC@6,3:crp_mover;$1FC@7,3:crp_mover;$232@4,7:static_instantiated_object;$1F2@2,9:bonus_object"
2,10,2,$042278,,yes,LEFT,complete,no,,,,"$1F2@3,4:bonus_object;$1F3@5,5:bonus_object;$09F@12,8:particle_or_hazard_emitter"
2,11,11,$0423E0,,no,,,no,,,,"$1F3@3,2:bonus_object;$1FA@4,2:bonus_object;$329@6,4:right_firing_emitter;$1FD@11,5:crp_mover;$1FD@12,5:crp_mover;$1FD@13,5:crp_mover;$1FD@14,5:crp_mover;$1FE@11,7:crp_mover;$1FE@12,7:crp_mover;$1FE@13,7:crp_mover;$1FE@14,7:crp_mover"
2,12,12,$042408,,no,,,no,,,,"$1FC@8,2:crp_mover;$1FC@9,2:crp_mover;$1FC@10,2:crp_mover;$1FC@11,2:crp_mover;$1FC@12,2:crp_mover;$1FC@13,2:crp_mover;$1FC@14,2:crp_mover"
2,13,15,$042480,,yes,BOTTOM,complete,no,,,,"$300@13,5:active_room_controller;$1F2@16,8:bonus_object"
2,16,7,$042340,,no,,,no,,,,"$26B@2,3:animated_mechanism;$253@3,3:animated_mechanism;$256@4,3:animated_mechanism;$30C@16,3:weapon_or_hazard_emitter;$25B@2,4:animated_mechanism;$254@3,4:animated_mechanism;$255@4,4:animated_mechanism;$25E@2,5:animated_mechanism;$255@3,5:animated_mechanism;$254@4,5:animated_mechanism;$25C@2,6:animated_mechanism;$256@3,6:animated_mechanism;$253@4,6:animated_mechanism;$26A@2,7:animated_mechanism;$255@3,7:animated_mechanism;$254@4,7:animated_mechanism;$232@11,7:static_instantiated_object;$242@8,8:static_instantiated_object"
2,17,8,$042368,,yes,RIGHT,complete,no,,,,"$242@3,7:static_instantiated_object;$1FA@9,8:bonus_object;$1F3@7,9:bonus_object"
2,18,9,$042390,,no,,,no,,,,"$1F3@12,2:bonus_object;$1F3@13,3:bonus_object;$1F3@14,3:bonus_object;$31C@16,4:weapon_or_hazard_emitter;$300@9,6:active_room_controller;$232@17,7:static_instantiated_object;$1F4@13,8:directional_mover;$1F4@14,8:directional_mover;$1F4@12,9:directional_mover;$1F4@15,9:directional_mover"
2,19,10,$0423B8,,no,,,no,,,,"$346@12,6:left_firing_emitter"
