level,logical_room,physical_background,map_source_runtime,edge_spawn_markers,level4_bonus_spawn_pits,edge_crawler_bug_markers,paired_moving_enemy_markers,cannon_or_projectile_emitters,collectable_control_markers,destructible_tile_cells,level_end_landing_pad
1,0,0,$04084A,,,,,,"$1FA@17,8",,
1,1,7,$040962,,,,,"$31C@4,4;$300@17,5",,"$300@17,5;$066@17,6;$062@16,7;$064@17,7;$063@18,7;$065@19,7;$242@9,8;$243@10,8;$05C@16,8;$05D@17,8;$05E@18,8;$05F@19,8;$244@9,9;$245@10,9",
1,2,8,$04098A,"$1E8@19,3;$1E9@19,9",,,,"$30C@15,4",,"$116@14,3;$117@15,3;$118@16,3;$119@17,3;$11A@14,4;$30C@15,4;$30D@16,4;$11D@17,4;$11E@14,5;$30E@15,5;$30F@16,5",
1,3,9,$0409B2,,,"$1FC@16,2;$1FC@17,2;$1FC@18,2;$1FC@19,2","$1F8@10,2;$1F8@12,3",,,,
1,4,10,$0409DA,,,,,,"$1F3@9,4;$1FA@15,7;$1F2@14,9","$0ED@15,5;$068@16,5;$0ED@14,6;$068@15,6;$068@16,6;$068@17,6;$0ED@11,7;$068@12,7;$0ED@13,7;$068@14,7;$068@16,7;$0ED@17,7;$068@7,8;$068@9,8;$0ED@10,8;$068@11,8;$0ED@12,8;$068@13,8;$0ED@14,8;$068@15,8;$0ED@16,8;$068@17,8;$0ED@13,9;$068@13,10;$0ED@14,10",
1,8,1,$040872,"$1E2@6,10;$1E3@15,10",,,,,"$1F2@4,4",,
1,9,6,$04093A,,,,"$1F8@9,2;$1F8@11,3",,"$1F3@7,3",,
1,10,5,$040912,"$1E4@0,2;$1E5@0,6",,,,,"$1F3@7,6;$1F3@11,6",,
1,11,14,$040A7A,,,,,"$30C@9,3",,"$116@8,2;$117@9,2;$118@10,2;$119@11,2;$11A@8,3;$30C@9,3;$30D@10,3;$11D@11,3;$11E@8,4;$30E@9,4;$30F@10,4",yes
1,12,11,$040A02,"$1E2@2,10;$1E3@8,10",,,,"$300@15,5",,"$300@15,5;$066@15,6;$062@14,7;$064@15,7;$063@16,7;$065@17,7;$05C@14,8;$05D@15,8;$05E@16,8;$05F@17,8",
1,16,2,$04089A,,,,,"$300@12,6","$1F2@3,4;$1F3@4,4","$300@12,6;$066@12,7;$062@11,8;$064@12,8;$063@13,8;$065@14,8;$05C@11,9;$05D@12,9;$05E@13,9;$05F@14,9",
1,17,3,$0408C2,,,,,"$346@14,7",,,
