level,logical_room,physical_background,tile_x,tile_y,pixel_x,pixel_y,tile_id,literal_marker_text,category,behaviour_runtime,confidence
1,0,0,5,7,$070,$088,$02B,START,player_start,,Proven
2,3,0,14,4,$100,$058,$02B,START,player_start,,Proven
3,1,0,16,6,$120,$078,$02B,START,player_start,,Proven
4,9,9,16,3,$120,$048,$02B,START,player_start,,Proven
1,0,0,10,8,$0C0,$098,$09F,,particle_or_hazard_emitter,$011FBC,High
1,9,6,4,8,$060,$098,$09F,,particle_or_hazard_emitter,$011FBC,High
2,10,2,12,8,$0E0,$098,$09F,,particle_or_hazard_emitter,$011FBC,High
2,27,19,8,9,$0A0,$0A8,$09F,,particle_or_hazard_emitter,$011FBC,High
3,13,15,14,9,$100,$0A8,$09F,,particle_or_hazard_emitter,$011FBC,High
3,30,28,7,8,$090,$098,$09F,,particle_or_hazard_emitter,$011FBC,High
4,35,35,15,7,$110,$088,$09F,,particle_or_hazard_emitter,$011FBC,High
4,10,10,17,7,$130,$088,$1D5,,level4_portal_trigger,$018570,Proven
4,30,30,17,7,$130,$088,$1D5,,level4_portal_trigger,$018570,Proven
4,48,48,3,6,$050,$078,$1D5,,level4_portal_trigger,$018570,Proven
4,49,49,7,1,$090,$028,$1D5,,level4_portal_trigger,$018570,Proven
4,57,57,2,2,$040,$038,$1D5,,level4_portal_trigger,$018570,Proven
4,61,61,9,8,$0B0,$098,$1D5,,level4_portal_trigger,$018570,Proven
4,72,72,16,2,$120,$038,$1D5,,level4_portal_trigger,$018570,Proven
4,79,79,14,5,$100,$068,$1D5,,level4_portal_trigger,$018570,Proven
1,0,0,4,2,$060,$038,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
1,0,0,8,2,$0A0,$038,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
1,0,0,16,8,$120,$098,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
1,4,10,5,1,$070,$028,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
1,4,10,8,1,$0A0,$028,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
1,4,10,11,1,$0D0,$028,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
1,8,1,7,2,$090,$038,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
1,8,1,10,2,$0C0,$038,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
2,17,8,3,2,$050,$038,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
2,17,8,17,2,$130,$038,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
3,2,11,4,2,$060,$038,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
3,2,11,5,2,$070,$038,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
3,23,26,5,9,$070,$0A8,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
3,23,26,9,9,$0B0,$0A8,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
3,24,6,1,4,$030,$058,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
4,4,4,7,1,$090,$028,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
4,4,4,14,1,$100,$028,$1E0,FAST ↓,fast_animation_marker,$017EAE,High
1,16,2,7,9,$090,$0A8,$1E1,FAST ↑,fast_animation_marker,$017EC4,High
3,8,2,6,8,$080,$098,$1E1,FAST ↑,fast_animation_marker,$017EC4,High
3,29,29,4,8,$060,$098,$1E1,FAST ↑,fast_animation_marker,$017EC4,High
3,29,29,6,8,$080,$098,$1E1,FAST ↑,fast_animation_marker,$017EC4,High
4,57,57,6,9,$080,$0A8,$1E1,FAST ↑,fast_animation_marker,$017EC4,High
1,8,1,6,10,$080,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
1,12,11,2,10,$040,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
2,5,14,3,10,$050,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
2,8,6,5,10,$070,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
2,13,15,3,10,$050,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
3,2,11,5,10,$070,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
3,7,24,5,10,$070,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
3,11,17,3,10,$050,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
3,15,25,5,10,$070,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
4,16,16,2,10,$040,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
4,43,43,6,10,$080,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
4,51,51,2,9,$040,$0A8,$1E2,ST ↓,enemy_spawn_start,,Proven
4,55,55,12,9,$0E0,$0A8,$1E2,ST ↓,enemy_spawn_start,,Proven
4,58,58,1,10,$030,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
4,70,70,1,10,$030,$0B8,$1E2,ST ↓,enemy_spawn_start,,Proven
1,8,1,15,10,$110,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
1,12,11,8,10,$0A0,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
2,5,14,16,10,$120,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
2,8,6,13,10,$0F0,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
2,13,15,10,10,$0C0,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
3,2,11,15,10,$110,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
3,7,24,17,10,$130,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
3,11,17,13,10,$0F0,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
3,15,25,17,10,$130,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
3,23,26,5,10,$070,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
3,23,26,17,10,$130,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
4,16,16,8,10,$0A0,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
4,40,40,6,10,$080,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
4,43,43,12,10,$0E0,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
4,51,51,17,9,$130,$0A8,$1E3,ED ↓,enemy_spawn_end,,Proven
4,55,55,18,9,$140,$0A8,$1E3,ED ↓,enemy_spawn_end,,Proven
4,58,58,10,10,$0C0,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
4,70,70,14,10,$100,$0B8,$1E3,ED ↓,enemy_spawn_end,,Proven
1,10,5,0,2,$020,$038,$1E4,ST ←,enemy_spawn_start,,Proven
2,10,2,0,4,$020,$058,$1E4,ST ←,enemy_spawn_start,,Proven
2,25,21,0,2,$020,$038,$1E4,ST ←,enemy_spawn_start,,Proven
2,26,20,0,2,$020,$038,$1E4,ST ←,enemy_spawn_start,,Proven
3,4,13,0,6,$020,$078,$1E4,ST ←,enemy_spawn_start,,Proven
3,29,29,0,2,$020,$038,$1E4,ST ←,enemy_spawn_start,,Proven
4,53,53,0,1,$020,$028,$1E4,ST ←,enemy_spawn_start,,Proven
4,59,59,0,1,$020,$028,$1E4,ST ←,enemy_spawn_start,,Proven
1,10,5,0,6,$020,$078,$1E5,ED ←,enemy_spawn_end,,Proven
2,10,2,0,6,$020,$078,$1E5,ED ←,enemy_spawn_end,,Proven
2,25,21,0,8,$020,$098,$1E5,ED ←,enemy_spawn_end,,Proven
2,26,20,0,8,$020,$098,$1E5,ED ←,enemy_spawn_end,,Proven
3,4,13,0,9,$020,$0A8,$1E5,ED ←,enemy_spawn_end,,Proven
3,29,29,0,8,$020,$098,$1E5,ED ←,enemy_spawn_end,,Proven
4,53,53,0,5,$020,$068,$1E5,ED ←,enemy_spawn_end,,Proven
4,59,59,0,9,$020,$0A8,$1E5,ED ←,enemy_spawn_end,,Proven
3,10,10,2,0,$040,$018,$1E6,ST ↑,enemy_spawn_start,,Proven
3,14,22,2,0,$040,$018,$1E6,ST ↑,enemy_spawn_start,,Proven
3,18,9,3,0,$050,$018,$1E6,ST ↑,enemy_spawn_start,,Proven
3,22,21,13,0,$0F0,$018,$1E6,ST ↑,enemy_spawn_start,,Proven
4,50,50,3,0,$050,$018,$1E6,ST ↑,enemy_spawn_start,,Proven
4,66,66,1,0,$030,$018,$1E6,ST ↑,enemy_spawn_start,,Proven
3,10,10,18,0,$140,$018,$1E7,ED ↑,enemy_spawn_end,,Proven
3,14,22,18,0,$140,$018,$1E7,ED ↑,enemy_spawn_end,,Proven
3,18,9,11,0,$0D0,$018,$1E7,ED ↑,enemy_spawn_end,,Proven
3,22,21,17,0,$130,$018,$1E7,ED ↑,enemy_spawn_end,,Proven
4,50,50,4,0,$060,$018,$1E7,ED ↑,enemy_spawn_end,,Proven
4,66,66,4,0,$060,$018,$1E7,ED ↑,enemy_spawn_end,,Proven
1,2,8,19,3,$150,$048,$1E8,ST →,enemy_spawn_start,,Proven
2,17,8,19,2,$150,$038,$1E8,ST →,enemy_spawn_start,,Proven
3,3,12,19,1,$150,$028,$1E8,ST →,enemy_spawn_start,,Proven
3,8,2,19,1,$150,$028,$1E8,ST →,enemy_spawn_start,,Proven
3,20,19,19,3,$150,$048,$1E8,ST →,enemy_spawn_start,,Proven
3,21,20,19,3,$150,$048,$1E8,ST →,enemy_spawn_start,,Proven
3,24,6,19,2,$150,$038,$1E8,ST →,enemy_spawn_start,,Proven
3,25,7,19,2,$150,$038,$1E8,ST →,enemy_spawn_start,,Proven
4,14,14,19,1,$150,$028,$1E8,ST →,enemy_spawn_start,,Proven
1,2,8,19,9,$150,$0A8,$1E9,ED →,enemy_spawn_end,,Proven
2,17,8,19,7,$150,$088,$1E9,ED →,enemy_spawn_end,,Proven
3,3,12,19,9,$150,$0A8,$1E9,ED →,enemy_spawn_end,,Proven
3,8,2,19,9,$150,$0A8,$1E9,ED →,enemy_spawn_end,,Proven
3,20,19,19,7,$150,$088,$1E9,ED →,enemy_spawn_end,,Proven
3,21,20,19,7,$150,$088,$1E9,ED →,enemy_spawn_end,,Proven
3,24,6,19,8,$150,$098,$1E9,ED →,enemy_spawn_end,,Proven
3,25,7,19,7,$150,$088,$1E9,ED →,enemy_spawn_end,,Proven
4,14,14,19,3,$150,$048,$1E9,ED →,enemy_spawn_end,,Proven
4,3,3,18,7,$140,$088,$1F0,RNET ←,directional_mover,$0114E6,High
4,3,3,18,9,$140,$0A8,$1F0,RNET ←,directional_mover,$0114E6,High
4,9,9,18,1,$140,$028,$1F0,RNET ←,directional_mover,$0114E6,High
4,14,14,9,5,$0B0,$068,$1F0,RNET ←,directional_mover,$0114E6,High
4,19,19,18,6,$140,$078,$1F0,RNET ←,directional_mover,$0114E6,High
4,19,19,18,8,$140,$098,$1F0,RNET ←,directional_mover,$0114E6,High
4,20,20,6,1,$080,$028,$1F0,RNET ←,directional_mover,$0114E6,High
4,20,20,10,2,$0C0,$038,$1F0,RNET ←,directional_mover,$0114E6,High
4,20,20,2,4,$040,$058,$1F0,RNET ←,directional_mover,$0114E6,High
4,20,20,6,6,$080,$078,$1F0,RNET ←,directional_mover,$0114E6,High
4,20,20,2,7,$040,$088,$1F0,RNET ←,directional_mover,$0114E6,High
4,22,22,16,2,$120,$038,$1F0,RNET ←,directional_mover,$0114E6,High
4,24,24,18,2,$140,$038,$1F0,RNET ←,directional_mover,$0114E6,High
4,24,24,18,4,$140,$058,$1F0,RNET ←,directional_mover,$0114E6,High
4,24,24,18,5,$140,$068,$1F0,RNET ←,directional_mover,$0114E6,High
4,24,24,18,6,$140,$078,$1F0,RNET ←,directional_mover,$0114E6,High
4,30,30,18,3,$140,$048,$1F0,RNET ←,directional_mover,$0114E6,High
4,30,30,18,5,$140,$068,$1F0,RNET ←,directional_mover,$0114E6,High
4,40,40,18,1,$140,$028,$1F0,RNET ←,directional_mover,$0114E6,High
4,40,40,18,7,$140,$088,$1F0,RNET ←,directional_mover,$0114E6,High
4,40,40,18,8,$140,$098,$1F0,RNET ←,directional_mover,$0114E6,High
4,40,40,18,9,$140,$0A8,$1F0,RNET ←,directional_mover,$0114E6,High
4,44,44,15,6,$110,$078,$1F0,RNET ←,directional_mover,$0114E6,High
4,50,50,16,9,$120,$0A8,$1F0,RNET ←,directional_mover,$0114E6,High
4,56,56,18,3,$140,$048,$1F0,RNET ←,directional_mover,$0114E6,High
4,60,60,6,4,$080,$058,$1F0,RNET ←,directional_mover,$0114E6,High
4,60,60,6,5,$080,$068,$1F0,RNET ←,directional_mover,$0114E6,High
4,60,60,6,6,$080,$078,$1F0,RNET ←,directional_mover,$0114E6,High
4,60,60,6,7,$080,$088,$1F0,RNET ←,directional_mover,$0114E6,High
4,63,63,18,3,$140,$048,$1F0,RNET ←,directional_mover,$0114E6,High
4,63,63,18,8,$140,$098,$1F0,RNET ←,directional_mover,$0114E6,High
4,64,64,13,1,$0F0,$028,$1F0,RNET ←,directional_mover,$0114E6,High
4,64,64,13,3,$0F0,$048,$1F0,RNET ←,directional_mover,$0114E6,High
4,64,64,13,5,$0F0,$068,$1F0,RNET ←,directional_mover,$0114E6,High
4,64,64,13,7,$0F0,$088,$1F0,RNET ←,directional_mover,$0114E6,High
4,64,64,13,9,$0F0,$0A8,$1F0,RNET ←,directional_mover,$0114E6,High
4,65,65,18,3,$140,$048,$1F0,RNET ←,directional_mover,$0114E6,High
4,65,65,18,5,$140,$068,$1F0,RNET ←,directional_mover,$0114E6,High
4,65,65,18,7,$140,$088,$1F0,RNET ←,directional_mover,$0114E6,High
4,65,65,18,9,$140,$0A8,$1F0,RNET ←,directional_mover,$0114E6,High
4,68,68,18,1,$140,$028,$1F0,RNET ←,directional_mover,$0114E6,High
4,69,69,18,3,$140,$048,$1F0,RNET ←,directional_mover,$0114E6,High
