level,logical_room_id,grid_x,grid_y,physical_background_id,first_row_runtime_addr,row_stride_bytes,is_level_start,start_marker_tile_2B_positions,left_open_rows,left_target,left_target_valid,left_opposite_edge_open,right_open_rows,right_target,right_target_valid,right_opposite_edge_open,up_open_cols,up_target,up_target_valid,up_opposite_edge_open,down_open_cols,down_target,down_target_valid,down_opposite_edge_open
1,0,0,0,0,$04084A,$25A,yes,"5,7",,,,,,,,,,,,,"2,3,4",8,yes,yes
1,1,1,0,7,$040962,$25A,,,,,,,"1,2,3,4,5,6",2,yes,yes,,,,,"1,2,3,4,5",9,yes,yes
1,2,2,0,8,$04098A,$25A,,,"1,2,3,4,5,6,7,8",1,yes,yes,"4,5,6,7,8",3,yes,yes,,,,,,,,
1,3,3,0,9,$0409B2,$25A,,,"3,4,5,6,7,8,9",2,yes,yes,"3,4,5",4,yes,yes,,,,,,,,
1,4,4,0,10,$0409DA,$25A,,,"2,3,4,5",3,yes,yes,,,,,,,,,,,,
1,8,0,1,1,$040872,$25A,,,,,,,,,,,"2,3,4",0,yes,yes,"7,8,9,10,11,12,13,14",16,yes,yes
1,9,1,1,6,$04093A,$25A,,,,,,,"2,3,4,5,6",10,yes,yes,"1,2,3,4,5",1,yes,yes,,,,
1,10,2,1,5,$040912,$25A,,,"3,4,5",9,yes,yes,,,,,,,,,"15,16,17",18,yes,yes
1,11,3,1,14,$040A7A,$25A,,,,,,,,,,,,,,,"7,8",19,yes,yes
1,12,4,1,11,$040A02,$25A,,,,,,,,,,,"2,13,14",4,yes,no,"3,4,5,6,7,9,10,11,12",20,yes,yes
1,16,0,2,2,$04089A,$25A,,,,,,,"7,8",17,yes,yes,"6,7,8,9,10,11,12,13,14,15",8,yes,yes,,,,
1,17,1,2,3,$0408C2,$25A,,,"7,8",16,yes,yes,"1,2,3,4,5,6,7,8,9",18,yes,yes,,,,,,,,
1,18,2,2,4,$0408EA,$25A,,,"1,2,3,4,5,6,7,8,9",17,yes,yes,,,,,"15,16,17",10,yes,yes,,,,
1,19,3,2,13,$040A52,$25A,,,,,,,6,20,yes,yes,"7,8",11,yes,yes,,,,
1,20,4,2,12,$040A2A,$25A,,,6,19,yes,yes,,,,,"2,3,4,5,6,7,8,9,10,11,12",12,yes,yes,,,,
2,0,0,0,5,$0422F0,$398,,,,,,,1,1,yes,yes,,,,,"3,4",8,yes,yes
2,1,1,0,4,$0422C8,$398,,,1,0,yes,yes,,,,,,,,,"2,3,4,5,6,7",9,yes,yes
2,2,2,0,1,$042250,$398,,,,,,,"2,3,4,5,6,7,8",3,yes,yes,,,,,,,,
2,3,3,0,0,$042228,$398,yes,"14,4","2,3,4,5,6,7,8",2,yes,yes,,,,,,,,,,,,
2,4,4,0,13,$042430,$398,,,,,,,,,,,,,,,17,12,yes,yes
2,5,5,0,14,$042458,$398,,,2,4,yes,no,,,,,,,,,"4,5,6,7,8,9,10,11,12,13,14,15",13,yes,yes
2,8,0,1,6,$042318,$398,,,,,,,,,,,"3,4",0,yes,yes,"6,7,8,9,10,11,12",16,yes,yes
2,9,1,1,3,$0422A0,$398,,,,,,,"4,5,6",10,yes,yes,"2,3,4,5,6,7",1,yes,yes,,,,
2,10,2,1,2,$042278,$398,,,5,9,yes,yes,,,,,"7,8,9,10,11,12,13,14",2,yes,no,,,,
2,11,3,1,11,$0423E0,$398,,,,,,,2,12,yes,yes,,,,,"8,9,10,11,12,13,14,15,16",19,yes,yes
2,12,4,1,12,$042408,$398,,,2,11,yes,yes,,,,,17,4,yes,yes,,,,
2,13,5,1,15,$042480,$398,,,,,,,,,,,"3,4,5,6,7,8,9,10,11,12,13,14,15,16",5,yes,yes,"4,5,6,7,8,9",21,yes,yes
2,16,0,2,7,$042340,$398,,,,,,,"2,3,4,5,6,7,8,9",17,yes,yes,"5,6,7,8,9,10,11,12,13",8,yes,yes,,,,
2,17,1,2,8,$042368,$398,,,"2,3,4,5,6,7,8,9",16,yes,yes,"3,4,5,6,8,9",18,yes,yes,,,,,,,,
