tile_id,literal_editor_text,revised_classification,function,behaviour_runtime,map_occurrences,confidence
$02B,START,player_start_marker,initial player spawn,$010CC0,4,Proven
$09F,,hazard_or_particle_emitter,creates multiple moving child objects,$011FBC,7,High
$1D5,,level4_portal_marker,matches all 8 explicit Level-4 portal triggers,$018570,8,Proven
$1E2,ST ↓,edge_spawn_start,BOTTOM automatic enemy-spawn band endpoint 1,,15,Proven
$1E3,ED ↓,edge_spawn_end,BOTTOM automatic enemy-spawn band endpoint 2,,18,Proven
$1E4,ST ←,edge_spawn_start,LEFT automatic enemy-spawn band endpoint 1,,8,Proven
$1E5,ED ←,edge_spawn_end,LEFT automatic enemy-spawn band endpoint 2,,8,Proven
$1E6,ST ↑,edge_spawn_start,TOP automatic enemy-spawn band endpoint 1,,6,Proven
$1E7,ED ↑,edge_spawn_end,TOP automatic enemy-spawn band endpoint 2,,6,Proven
$1E8,ST →,edge_spawn_start,RIGHT automatic enemy-spawn band endpoint 1,,9,Proven
$1E9,ED →,edge_spawn_end,RIGHT automatic enemy-spawn band endpoint 2,,9,Proven
$1F2,BNUS MCE,cybermace_bonus,pickup installs orbiting weapon objects around player,$016D32,36,Proven by behaviour
$1F3,BNUS WPN,weapon_ammo_canister,pickup increments currently-selected special-weapon ammunition,$016D46,79,Proven
$1F6,ELE →,horizontal_paired_mover_start,hostile paired mover; scans right to $1F7,$016CCA,27,Proven
$1F7,ELE ←,horizontal_paired_mover_end,paired hostile endpoint,$01236E,27,Proven
$1F8,ELE ↓,vertical_paired_mover_start,hostile paired mover; scans down to $1F9,$016C62,34,Proven
$1F9,ELE ↑,vertical_paired_mover_end,paired hostile endpoint,$01236E,34,Proven
$1FA,BACK FIRE,rear_fire_attachment,pickup attaches rear-firing weapon behind player ship,$016D46,16,Proven
$1FC,CRP LFT SLO,edge_crawler_bug,surface-following hostile crawler using live collision map,$017410,41,Proven by behaviour
$1FD,CRP LFT FST,edge_crawler_bug,surface-following hostile crawler using live collision map,$017410,55,Proven by behaviour
$1FE,CRP RHT SLO,edge_crawler_bug,surface-following hostile crawler using live collision map,$016F86,38,Proven by behaviour
$1FF,CRP RHT FST,edge_crawler_bug,surface-following hostile crawler using live collision map,$016F86,15,Proven by behaviour
$200,,level4_bonus_spawn_pit,interior Level-4 generator; emits cargo/value pickup or homing hostile enemy,$018344,10,Proven by behaviour
$2E2,,level4_bonus_spawn_pit,same generator behaviour as $200,$018344,3,Proven by behaviour
$300,,projectile_emplacement,active projectile emitter; also explicitly destroyable,$016D6C,34,High
$30C,,large_firing_cannon,animated projectile-firing emplacement; explicitly destroyable,$016EBC,25,High
$31C,,large_firing_cannon,long firing/animation sequence; projectile-firing,$016DDC,13,High
$324,,level_end_landing_pad_left,left half of level-completion docking target,$0181C6,4,Proven
$325,,level_end_landing_pad_right,right half of level-completion docking target,$0181B2,4,Proven
$329,,right_firing_emitter,creates child projectile moving right 8 px/update,$017AF4,10,Proven direction
$346,,left_firing_emitter,creates child projectile moving left 8 px/update,$017A2A,21,Proven direction
