tile_id,class_l1_l3,class_l4,collision_l1_l3,collision_l4,passable_table,destructible,special,notes
$000,passable,passable,passable,passable,yes,no,no,
$001,passable,passable,passable,passable,yes,no,no,
$002,passable,passable,passable,passable,yes,no,no,
$003,passable,passable,passable,passable,yes,no,no,
$004,passable,passable,passable,passable,yes,no,no,
$005,passable,passable,passable,passable,yes,no,no,
$006,passable,passable,passable,passable,yes,no,no,
$007,solid,solid,solid,solid,no,no,no,
$008,passable,passable,passable,passable,yes,no,no,
$009,solid,solid,solid,solid,no,no,no,
$00A,passable,passable,passable,passable,yes,no,no,
$00B,passable,passable,passable,passable,yes,no,no,
$00C,solid,solid,solid,solid,no,no,no,
$00D,solid,solid,solid,solid,no,no,no,
$00E,passable,passable,passable,passable,yes,no,no,
$00F,solid,solid,solid,solid,no,no,no,
$010,solid,solid,solid,solid,no,no,no,
$011,solid,solid,solid,solid,no,no,no,
$012,solid,solid,solid,solid,no,no,no,
$013,solid,solid,solid,solid,no,no,no,
$014,solid,solid,solid,solid,no,no,no,
$015,solid,solid,solid,solid,no,no,no,
$016,solid,solid,solid,solid,no,no,no,
$017,solid,solid,solid,solid,no,no,no,
$018,solid,solid,solid,solid,no,no,no,
$019,solid,solid,solid,solid,no,no,no,
$01A,solid,solid,solid,solid,no,no,no,
$01B,solid,solid,solid,solid,no,no,no,
$01C,solid,solid,solid,solid,no,no,no,
$01D,solid,solid,solid,solid,no,no,no,
$01E,solid,solid,solid,solid,no,no,no,
$01F,solid,solid,solid,solid,no,no,no,
$020,solid,solid,solid,solid,no,no,no,
$021,solid,solid,solid,solid,no,no,no,
$022,solid,solid,solid,solid,no,no,no,
$023,solid,solid,solid,solid,no,no,no,
$024,solid,solid,solid,solid,no,no,no,
$025,solid,solid,solid,solid,no,no,no,
$026,solid,solid,solid,solid,no,no,no,
$027,solid,solid,solid,solid,no,no,no,
$028,solid,solid,solid,solid,no,no,no,
$029,solid,solid,solid,solid,no,no,no,
$02A,solid,solid,solid,solid,no,no,no,
$02B,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$02C,solid,solid,solid,solid,no,no,no,
$02D,solid,solid,solid,solid,no,no,no,
$02E,solid,solid,solid,solid,no,no,no,
$02F,solid,solid,solid,solid,no,no,no,
$030,solid,solid,solid,solid,no,no,no,
$031,solid,solid,solid,solid,no,no,no,
$032,solid,solid,solid,solid,no,no,no,
$033,solid,solid,solid,solid,no,no,no,
$034,solid,solid,solid,solid,no,no,no,
$035,solid,solid,solid,solid,no,no,no,
$036,solid,solid,solid,solid,no,no,no,
$037,solid,solid,solid,solid,no,no,no,
$038,solid,solid,solid,solid,no,no,no,
$039,solid,solid,solid,solid,no,no,no,
$03A,solid,solid,solid,solid,no,no,no,
$03B,solid,solid,solid,solid,no,no,no,
$03C,solid,solid,solid,solid,no,no,no,
$03D,solid,solid,solid,solid,no,no,no,
$03E,solid,solid,solid,solid,no,no,no,
$03F,solid,solid,solid,solid,no,no,no,
$040,solid,solid,solid,solid,no,no,no,
$041,solid,solid,solid,solid,no,no,no,
$042,solid,solid,solid,solid,no,no,no,
$043,solid,solid,solid,solid,no,no,no,
$044,passable,passable,passable,passable,yes,no,no,
$045,passable,passable,passable,passable,yes,no,no,
$046,passable,passable,passable,passable,yes,no,no,
$047,passable,passable,passable,passable,yes,no,no,
$048,passable,passable,passable,passable,yes,no,no,
$049,passable,passable,passable,passable,yes,no,no,
$04A,passable,passable,passable,passable,yes,no,no,
$04B,passable,passable,passable,passable,yes,no,no,
$04C,passable,passable,passable,passable,yes,no,no,
$04D,passable,passable,passable,passable,yes,no,no,
$04E,passable,passable,passable,passable,yes,no,no,
$04F,solid,solid,solid,solid,no,no,no,
$050,solid,solid,solid,solid,no,no,no,
$051,solid,solid,solid,solid,no,no,no,
$052,solid,solid,solid,solid,no,no,no,
$053,solid,solid,solid,solid,no,no,no,
$054,solid,solid,solid,solid,no,no,no,
$055,solid,solid,solid,solid,no,no,no,
$056,solid,solid,solid,solid,no,no,no,
$057,solid,solid,solid,solid,no,no,no,
$058,solid,solid,solid,solid,no,no,no,
$059,solid,solid,solid,solid,no,no,no,
$05A,solid,solid,solid,solid,no,no,no,
$05B,solid,solid,solid,solid,no,no,no,
$05C,destructible,destructible,solid,solid,no,yes,no,
$05D,destructible,destructible,solid,solid,no,yes,no,
$05E,destructible,destructible,solid,solid,no,yes,no,
$05F,destructible,destructible,solid,solid,no,yes,no,
$060,solid,solid,solid,solid,no,no,no,
$061,solid,solid,solid,solid,no,no,no,
$062,destructible,destructible,solid,solid,no,yes,no,
$063,destructible,destructible,solid,solid,no,yes,no,
$064,destructible,destructible,solid,solid,no,yes,no,
$065,destructible,destructible,solid,solid,no,yes,no,
$066,destructible,destructible,solid,solid,no,yes,no,
$067,solid,solid,solid,solid,no,no,no,
$068,destructible,destructible,solid,solid,no,yes,no,
$069,destructible,destructible,solid,solid,no,yes,no,
$06A,solid,solid,solid,solid,no,no,no,
$06B,destructible,destructible,solid,solid,no,yes,no,
$06C,solid,solid,solid,solid,no,no,no,
$06D,solid,solid,solid,solid,no,no,no,
$06E,solid,solid,solid,solid,no,no,no,
$06F,solid,solid,solid,solid,no,no,no,
$070,solid,solid,solid,solid,no,no,no,
$071,solid,solid,solid,solid,no,no,no,
$072,solid,solid,solid,solid,no,no,no,
$073,solid,solid,solid,solid,no,no,no,
$074,solid,solid,solid,solid,no,no,no,
$075,solid,solid,solid,solid,no,no,no,
$076,solid,solid,solid,solid,no,no,no,
$077,solid,solid,solid,solid,no,no,no,
$078,solid,solid,solid,solid,no,no,no,
$079,solid,solid,solid,solid,no,no,no,
$07A,solid,solid,solid,solid,no,no,no,
$07B,solid,solid,solid,solid,no,no,no,
$07C,solid,solid,solid,solid,no,no,no,
$07D,solid,solid,solid,solid,no,no,no,
$07E,solid,solid,solid,solid,no,no,no,
$07F,solid,solid,solid,solid,no,no,no,
$080,solid,solid,solid,solid,no,no,no,
$081,solid,solid,solid,solid,no,no,no,
$082,solid,solid,solid,solid,no,no,no,
$083,solid,solid,solid,solid,no,no,no,
$084,solid,solid,solid,solid,no,no,no,
$085,solid,solid,solid,solid,no,no,no,
$086,solid,solid,solid,solid,no,no,no,
$087,solid,solid,solid,solid,no,no,no,
$088,solid,solid,solid,solid,no,no,no,
$089,solid,solid,solid,solid,no,no,no,
$08A,solid,solid,solid,solid,no,no,no,
$08B,solid,solid,solid,solid,no,no,no,
$08C,solid,solid,solid,solid,no,no,no,
$08D,solid,solid,solid,solid,no,no,no,
$08E,solid,solid,solid,solid,no,no,no,
$08F,solid,solid,solid,solid,no,no,no,
$090,solid,solid,solid,solid,no,no,no,
$091,solid,solid,solid,solid,no,no,no,
$092,solid,solid,solid,solid,no,no,no,
$093,solid,solid,solid,solid,no,no,no,
$094,solid,solid,solid,solid,no,no,no,
$095,solid,solid,solid,solid,no,no,no,
$096,solid,solid,solid,solid,no,no,no,
$097,solid,solid,solid,solid,no,no,no,
$098,solid,solid,solid,solid,no,no,no,
$099,solid,solid,solid,solid,no,no,no,
$09A,passable,passable,passable,passable,yes,no,no,
$09B,passable,passable,passable,passable,yes,no,no,
$09C,passable,passable,passable,passable,yes,no,no,
$09D,solid,solid,solid,solid,no,no,no,
$09E,solid,solid,solid,solid,no,no,no,
$09F,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$0A0,solid,solid,solid,solid,no,no,no,
$0A1,solid,solid,solid,solid,no,no,no,
$0A2,solid,solid,solid,solid,no,no,no,
$0A3,solid,solid,solid,solid,no,no,no,
$0A4,solid,solid,solid,solid,no,no,no,
$0A5,solid,solid,solid,solid,no,no,no,
$0A6,solid,solid,solid,solid,no,no,no,
$0A7,solid,solid,solid,solid,no,no,no,
$0A8,solid,solid,solid,solid,no,no,no,
$0A9,solid,solid,solid,solid,no,no,no,
$0AA,solid,solid,solid,solid,no,no,no,
$0AB,solid,solid,solid,solid,no,no,no,
$0AC,solid,solid,solid,solid,no,no,no,
$0AD,solid,solid,solid,solid,no,no,no,
$0AE,solid,solid,solid,solid,no,no,no,
$0AF,solid,solid,solid,solid,no,no,no,
$0B0,solid,solid,solid,solid,no,no,no,
$0B1,solid,solid,solid,solid,no,no,no,
$0B2,solid,solid,solid,solid,no,no,no,
$0B3,solid,solid,solid,solid,no,no,no,
$0B4,solid,solid,solid,solid,no,no,no,
