level,physical_room,logical_rooms,used,capacity,free,breakdown_json
1,0,0,4,56,52,"{""particle_emitter"": 1, ""reactor_animation"": 3}"
1,1,8,2,56,54,"{""reactor_animation"": 2}"
1,2,16,2,56,54,"{""organic_cannon_300"": 1, ""reactor_animation"": 1}"
1,3,17,1,56,55,"{""left_gun_346"": 1}"
1,4,18,1,56,55,"{""organic_cannon_300"": 1}"
1,5,10,0,56,56,{}
1,6,9,1,56,55,"{""particle_emitter"": 1}"
1,7,1,3,56,53,"{""compound_242_2x2"": 1, ""fixed_cannon_31C"": 1, ""organic_cannon_300"": 1}"
1,8,2,1,56,55,"{""large_cannon_30C"": 1}"
1,9,3,0,56,56,{}
1,10,4,3,56,53,"{""reactor_animation"": 3}"
1,11,12,1,56,55,"{""organic_cannon_300"": 1}"
1,12,20,0,56,56,{}
1,13,19,0,56,56,{}
1,14,11,10,56,46,"{""animated_pair_24D_24E"": 1, ""large_cannon_30C"": 1, ""solid_animation_253_256"": 8}"
2,0,3,1,56,55,"{""compound_232_2x3"": 1}"
2,1,2,1,56,55,"{""fixed_cannon_31C"": 1}"
2,2,10,1,56,55,"{""particle_emitter"": 1}"
2,3,9,1,56,55,"{""compound_232_2x3"": 1}"
2,4,1,3,56,53,"{""compound_232_2x3"": 1, ""compound_242_2x2"": 1, ""large_cannon_30C"": 1}"
2,5,0,0,56,56,{}
2,6,8,0,56,56,{}
2,7,16,18,56,38,"{""compound_232_2x3"": 1, ""compound_242_2x2"": 1, ""energy_field_25B_25E"": 3, ""large_cannon_30C"": 1, ""solid_animation_253_256"": 10, ""solid_animation_267_26A"": 1, ""solid_animation_26B_26E"": 1}"
2,8,17,3,56,53,"{""compound_242_2x2"": 1, ""reactor_animation"": 2}"
2,9,18,3,56,53,"{""compound_232_2x3"": 1, ""fixed_cannon_31C"": 1, ""organic_cannon_300"": 1}"
2,10,19,1,56,55,"{""left_gun_346"": 1}"
2,11,11,1,56,55,"{""right_gun_329"": 1}"
2,12,12,0,56,56,{}
2,13,4,2,56,54,"{""energy_field_25B_25E"": 2}"
2,14,5,0,56,56,{}
2,15,13,1,56,55,"{""organic_cannon_300"": 1}"
2,16,21,3,56,53,"{""compound_232_2x3"": 1, ""compound_242_2x2"": 1, ""large_cannon_30C"": 1}"
2,17,20,1,56,55,"{""fixed_cannon_31C"": 1}"
2,18,28,1,56,55,"{""compound_232_2x3"": 1}"
2,19,27,2,56,54,"{""particle_emitter"": 1, ""right_gun_329"": 1}"
2,20,26,1,56,55,"{""compound_232_2x3"": 1}"
2,21,25,15,56,41,"{""animated_pair_24D_24E"": 1, ""energy_field_25B_25E"": 4, ""solid_animation_253_256"": 10}"
2,22,24,9,56,47,"{""animated_pair_24D_24E"": 1, ""solid_animation_253_256"": 8}"
3,0,1,0,56,56,{}
3,1,0,2,56,54,"{""fixed_cannon_31C"": 1, ""organic_cannon_300"": 1}"
3,2,8,3,56,53,"{""compound_242_2x2"": 1, ""large_cannon_30C"": 1, ""reactor_animation"": 1}"
3,3,9,0,56,56,{}
3,4,17,1,56,55,"{""left_gun_346"": 1}"
3,5,16,0,56,56,{}
3,6,24,3,56,53,"{""compound_232_2x3"": 1, ""large_cannon_30C"": 1, ""reactor_animation"": 1}"
3,7,25,0,56,56,{}
3,8,26,0,56,56,{}
3,9,18,2,56,54,"{""compound_232_2x3"": 1, ""compound_242_2x2"": 1}"
3,10,10,1,56,55,"{""organic_cannon_300"": 1}"
3,11,2,3,56,53,"{""large_cannon_30C"": 1, ""reactor_animation"": 2}"
3,12,3,0,56,56,{}
3,13,4,1,56,55,"{""large_cannon_30C"": 1}"
3,14,5,0,56,56,{}
3,15,13,2,56,54,"{""compound_232_2x3"": 1, ""particle_emitter"": 1}"
3,16,12,2,56,54,"{""right_gun_329"": 1, ""solid_animation_263_266"": 1}"
3,17,11,2,56,54,"{""energy_field_25B_25E"": 2}"
3,18,19,1,56,55,"{""large_cannon_30C"": 1}"
3,19,20,10,56,46,"{""compound_232_2x3"": 1, ""energy_field_257_25A"": 6, ""organic_cannon_300"": 1, ""solid_animation_25F_262"": 2}"
3,20,21,46,56,10,"{""energy_field_257_25A"": 36, ""energy_field_25B_25E"": 10}"
3,21,22,14,56,42,"{""energy_field_257_25A"": 10, ""large_cannon_30C"": 1, ""organic_cannon_300"": 1, ""solid_animation_263_266"": 2}"
3,22,14,0,56,56,{}
3,23,6,0,56,56,{}
3,24,7,1,56,55,"{""large_cannon_30C"": 1}"
3,25,15,0,56,56,{}
3,26,23,4,56,52,"{""compound_232_2x3"": 1, ""compound_242_2x2"": 1, ""reactor_animation"": 2}"
3,27,31,1,56,55,"{""left_gun_346"": 1}"
3,28,30,2,56,54,"{""particle_emitter"": 1, ""right_gun_329"": 1}"
3,29,29,4,56,52,"{""large_cannon_30C"": 1, ""organic_cannon_300"": 1, ""reactor_animation"": 2}"
3,30,28,2,56,54,"{""compound_232_2x3"": 1, ""compound_242_2x2"": 1}"
3,31,27,9,56,47,"{""animated_pair_24D_24E"": 1, ""solid_animation_253_256"": 8}"
4,0,0,0,56,56,{}
4,1,1,0,56,56,{}
4,2,2,1,56,55,"{""mixed_spawn_pit"": 1}"
4,3,3,8,56,48,"{""energy_field_25B_25E"": 3, ""fixed_cannon_31C"": 1, ""left_gun_346"": 1, ""right_gun_329"": 1, ""solid_animation_267_26A"": 1, ""solid_animation_26B_26E"": 1}"
4,4,4,4,56,52,"{""organic_cannon_300"": 2, ""reactor_animation"": 2}"
4,5,5,1,56,55,"{""mixed_spawn_pit"": 1}"
4,6,6,2,56,54,"{""compound_232_2x3"": 1, ""fixed_cannon_31C"": 1}"
4,7,7,0,56,56,{}
4,8,8,1,56,55,"{""mixed_spawn_pit"": 1}"
4,9,9,1,56,55,"{""organic_cannon_300"": 1}"
4,10,10,1,56,55,"{""portal"": 1}"
4,11,11,9,56,47,"{""compound_232_2x3"": 1, ""compound_242_2x2"": 1, ""energy_field_257_25A"": 4, ""mixed_spawn_pit"": 1, ""solid_animation_25F_262"": 1, ""solid_animation_263_266"": 1}"
4,12,12,8,56,48,"{""energy_field_25B_25E"": 3, ""large_cannon_30C"": 1, ""organic_cannon_300"": 2, ""solid_animation_267_26A"": 1, ""solid_animation_26B_26E"": 1}"
4,13,13,5,56,51,"{""left_gun_346"": 2, ""mixed_spawn_pit"": 1, ""right_gun_329"": 2}"
4,14,14,0,56,56,{}
4,15,15,3,56,53,"{""compound_232_2x3"": 1, ""fixed_cannon_31C"": 1, ""mixed_spawn_pit"": 1}"
4,16,16,1,56,55,"{""left_gun_346"": 1}"
4,17,17,0,56,56,{}
4,18,18,0,56,56,{}
4,19,19,20,56,36,"{""energy_field_257_25A"": 16, ""solid_animation_25F_262"": 2, ""solid_animation_263_266"": 2}"
4,20,20,0,56,56,{}
4,21,21,5,56,51,"{""compound_232_2x3"": 2, ""compound_242_2x2"": 1, ""fixed_cannon_31C"": 2}"
4,22,22,2,56,54,"{""left_gun_346"": 1, ""organic_cannon_300"": 1}"
4,23,23,2,56,54,"{""fixed_cannon_31C"": 1, ""large_cannon_30C"": 1}"
4,24,24,2,56,54,"{""compound_232_2x3"": 1, ""organic_cannon_300"": 1}"
4,25,25,0,56,56,{}
4,26,26,1,56,55,"{""left_gun_346"": 1}"
4,27,27,0,56,56,{}
4,28,28,2,56,54,"{""fixed_cannon_31C"": 1, ""left_gun_346"": 1}"
4,29,29,0,56,56,{}
4,30,30,3,56,53,"{""mixed_spawn_pit"": 2, ""portal"": 1}"
4,31,31,16,56,40,"{""energy_field_25B_25E"": 12, ""solid_animation_267_26A"": 2, ""solid_animation_26B_26E"": 2}"
4,32,32,0,56,56,{}
4,33,33,0,56,56,{}
4,34,34,2,56,54,"{""left_gun_346"": 1, ""right_gun_329"": 1}"
4,35,35,1,56,55,"{""particle_emitter"": 1}"
4,36,36,1,56,55,"{""left_gun_346"": 1}"
4,37,37,6,56,50,"{""compound_232_2x3"": 2, ""compound_242_2x2"": 1, ""fixed_cannon_31C"": 1, ""left_gun_346"": 2}"
4,38,38,1,56,55,"{""compound_232_2x3"": 1}"
4,39,39,2,56,54,"{""organic_cannon_300"": 2}"
4,40,40,2,56,54,"{""left_gun_346"": 1, ""organic_cannon_300"": 1}"
4,41,41,1,56,55,"{""compound_232_2x3"": 1}"
4,42,42,0,56,56,{}
4,43,43,2,56,54,"{""compound_232_2x3"": 1, ""large_cannon_30C"": 1}"
4,44,44,0,56,56,{}
4,45,45,0,56,56,{}
4,46,46,2,56,54,"{""organic_cannon_300"": 2}"
4,47,47,33,56,23,"{""energy_field_257_25A"": 27, ""solid_animation_25F_262"": 3, ""solid_animation_263_266"": 3}"
4,48,48,6,56,50,"{""left_gun_346"": 5, ""portal"": 1}"
4,49,49,2,56,54,"{""mixed_spawn_pit"": 1, ""portal"": 1}"
4,50,50,0,56,56,{}
4,51,51,18,56,38,"{""energy_field_257_25A"": 16, ""solid_animation_25F_262"": 1, ""solid_animation_263_266"": 1}"
4,52,52,1,56,55,"{""right_gun_329"": 1}"
4,53,53,0,56,56,{}
4,54,54,3,56,53,"{""large_cannon_30C"": 1, ""mixed_spawn_pit"": 1, ""organic_cannon_300"": 1}"
4,55,55,9,56,47,"{""energy_field_257_25A"": 6, ""organic_cannon_300"": 1, ""solid_animation_25F_262"": 1, ""solid_animation_263_266"": 1}"
4,56,56,0,56,56,{}
4,57,57,5,56,51,"{""large_cannon_30C"": 1, ""organic_cannon_300"": 1, ""portal"": 1, ""reactor_animation"": 1, ""right_gun_329"": 1}"
4,58,58,1,56,55,"{""mixed_spawn_pit"": 1}"
4,59,59,0,56,56,{}
4,60,60,4,56,52,"{""large_cannon_30C"": 2, ""organic_cannon_300"": 2}"
4,61,61,1,56,55,"{""portal"": 1}"
4,62,62,0,56,56,{}
4,63,63,13,56,43,"{""energy_field_257_25A"": 6, ""energy_field_25B_25E"": 2, ""large_cannon_30C"": 1, ""solid_animation_25F_262"": 1, ""solid_animation_263_266"": 1, ""solid_animation_267_26A"": 1, ""solid_animation_26B_26E"": 1}"
4,64,64,0,56,56,{}
4,65,65,9,56,47,"{""animated_pair_24D_24E"": 1, ""solid_animation_253_256"": 8}"
4,66,66,2,56,54,"{""organic_cannon_300"": 2}"
