level,physical_room,logical_rooms,kind,anchor_x,anchor_y,controller_cost,edit_policy,runtime_role,detail,cells_json
1,0,0,reactor_animation,4,2,1,single_cell_place_move_delete,,RACT DOWN; runtime frames $308-$30B,"[[4, 2, 480]]"
1,0,0,reactor_animation,8,2,1,single_cell_place_move_delete,,RACT DOWN; runtime frames $308-$30B,"[[8, 2, 480]]"
1,0,0,player_start,5,7,0,move_only_sync_start_room_table,,,"[[5, 7, 43]]"
1,0,0,particle_emitter,10,8,1,single_cell_place_move_delete_with_runtime_pool_warning,,child allocator uses shared slots 19..40 and checks failure,"[[10, 8, 159]]"
1,0,0,reactor_animation,16,8,1,single_cell_place_move_delete,,RACT DOWN; runtime frames $308-$30B,"[[16, 8, 480]]"
1,1,8,reactor_animation,7,2,1,single_cell_place_move_delete,,RACT DOWN; runtime frames $308-$30B,"[[7, 2, 480]]"
1,1,8,reactor_animation,10,2,1,single_cell_place_move_delete,,RACT DOWN; runtime frames $308-$30B,"[[10, 2, 480]]"
1,1,8,edge_spawn_band,6,10,0,advanced_move_only_preserve_raw_cardinality,,bottom side; persistent ST/ED endpoint semantics,"[[6, 10, 482], [15, 10, 483]]"
1,2,16,organic_cannon_300,12,6,1,atomic_place_move_delete,,,"[[12, 6, 768], [12, 7, 102], [11, 8, 98], [12, 8, 100], [13, 8, 99], [14, 8, 101], [11, 9, 92], [12, 9, 93], [13, 9, 94], [14, 9, 95]]"
1,2,16,reactor_animation,7,9,1,single_cell_place_move_delete,,RACT UP; runtime frames $304-$307,"[[7, 9, 481]]"
1,3,17,left_gun_346,14,7,1,single_cell_place_move_delete,,,"[[14, 7, 838]]"
1,3,17,rnet_source,10,1,0,move_delete_add_only_when_total_le_8,live_primary,RNET DOWN,"[[10, 1, 501]]"
1,3,17,rnet_source,16,1,0,move_delete_add_only_when_total_le_8,live_primary,RNET DOWN,"[[16, 1, 501]]"
1,3,17,rnet_source,12,9,0,move_delete_add_only_when_total_le_8,live_primary,RNET UP,"[[12, 9, 500]]"
1,4,18,organic_cannon_300,13,6,1,atomic_place_move_delete,,,"[[13, 6, 768], [13, 7, 102], [12, 8, 98], [13, 8, 100], [14, 8, 99], [15, 8, 101], [12, 9, 92], [13, 9, 93], [14, 9, 94], [15, 9, 528]]"
1,4,18,ele_vertical,9,2,0,atomic_place_move_delete_max_5_pairs,,two adjacent runtime object records from slots 43..52,"[[9, 2, 504], [9, 6, 505]]"
1,5,10,rnet_source,9,2,0,move_delete_add_only_when_total_le_8,live_primary,RNET DOWN,"[[9, 2, 501]]"
1,5,10,edge_spawn_band,0,2,0,advanced_move_only_preserve_raw_cardinality,,left side; persistent ST/ED endpoint semantics,"[[0, 2, 484], [0, 6, 485]]"
1,6,9,particle_emitter,4,8,1,single_cell_place_move_delete_with_runtime_pool_warning,,child allocator uses shared slots 19..40 and checks failure,"[[4, 8, 159]]"
1,6,9,ele_vertical,9,2,0,atomic_place_move_delete_max_5_pairs,,two adjacent runtime object records from slots 43..52,"[[9, 2, 504], [9, 6, 505]]"
1,6,9,ele_vertical,11,3,0,atomic_place_move_delete_max_5_pairs,,two adjacent runtime object records from slots 43..52,"[[11, 3, 504], [11, 7, 505]]"
1,7,1,fixed_cannon_31C,4,4,1,single_cell_place_move_delete,,,"[[4, 4, 796]]"
1,7,1,organic_cannon_300,17,5,1,atomic_place_move_delete,,,"[[17, 5, 768], [17, 6, 102], [16, 7, 98], [17, 7, 100], [18, 7, 99], [19, 7, 101], [16, 8, 92], [17, 8, 93], [18, 8, 94], [19, 8, 95]]"
1,7,1,compound_242_2x2,9,8,1,atomic_place_move_delete,,,"[[9, 8, 578], [10, 8, 579], [9, 9, 580], [10, 9, 581]]"
1,8,2,large_cannon_30C,15,4,1,atomic_place_move_delete_preserve_collateral,,,"[[14, 3, 278], [15, 3, 279], [16, 3, 280], [17, 3, 281], [14, 4, 282], [15, 4, 780], [16, 4, 781], [17, 4, 285], [14, 5, 286], [15, 5, 782], [16, 5, 783]]"
